Baud, Errors
7922, 18993, 23
7923, 18993, 34
7924, 18993, 43
7925, 18993, 42
7926, 18993, 41
7927, 18993, 42
7928, 18993, 45
7929, 18993, 45
7930, 18993, 41
7931, 18993, 36
7932, 18993, 20
7933, 18993, 12
7934, 18993, 11
7935, 18993, 22
7936, 18993, 41
7937, 18993, 34
7938, 18993, 41
7939, 18993, 43
7940, 18993, 43
7941, 18993, 44
7942, 18993, 42
7943, 18993, 35
7944, 18993, 24
7945, 18993, 19
7946, 18993, 5
7947, 18993, 18
7948, 18993, 27
7949, 18993, 42
7950, 18993, 45
7951, 18993, 44
7952, 18993, 46
7953, 18993, 45
7954, 18993, 44
7955, 18993, 38
7956, 18993, 34
7957, 18993, 19
7958, 18993, 13
7959, 18993, 15
7960, 18993, 23
7961, 18993, 38
7962, 18993, 46
7963, 18993, 44
7964, 18993, 45
7965, 18993, 42
7966, 18993, 39
7967, 18993, 38
7968, 18993, 34
7969, 18993, 31
7970, 18993, 15
7971, 18993, 9
7972, 18993, 19
7973, 18993, 34
7974, 18993, 40
7975, 18993, 45
7976, 18993, 46
7977, 18993, 40
7978, 18993, 40
7979, 18993, 39
7980, 18993, 41
7981, 18993, 41
7982, 18993, 18
7983, 18993, 10
7984, 18993, 16
7985, 18993, 27
7986, 18993, 38
7987, 18993, 40
7988, 18993, 42
7989, 18993, 43
7990, 18993, 42
7991, 18993, 44
7992, 18993, 46
7993, 18993, 40
7994, 18993, 26
7995, 18993, 11
7996, 18993, 7
7997, 18993, 14
7998, 18993, 32
7999, 18993, 37
8000, 18993, 44
8001, 18993, 44
8002, 18993, 43
8003, 18993, 44
8004, 18993, 46
8005, 18993, 41
8006, 18993, 33
8007, 18993, 13
8008, 18993, 11
8009, 18993, 11
8010, 18993, 27
8011, 18993, 43
8012, 18993, 45
8013, 18993, 44
8014, 18993, 43
8015, 18993, 39
8016, 18993, 43
8017, 18993, 39
8018, 18993, 34
8019, 18993, 31
8020, 18993, 14
8021, 18993, 10
8022, 18993, 19
8023, 18993, 40
8024, 18993, 43
8025, 18993, 41
8026, 18993, 39
8027, 18993, 41
8028, 18993, 42
8029, 18993, 43
8030, 18993, 41
8031, 18993, 33
8032, 18993, 25
8033, 18993, 12
8034, 18993, 14
8035, 18993, 23
8036, 18993, 34
8037, 18993, 39
8038, 18993, 40
8039, 18993, 42
8040, 18993, 40
8041, 18993, 42
8042, 18993, 38
8043, 18993, 39
8044, 18993, 27
8045, 18993, 14
8046, 18993, 6
8047, 18993, 15
8048, 18993, 30
8049, 18993, 38
8050, 18993, 41
8051, 18993, 42
8052, 18993, 41
8053, 18993, 42
8054, 18993, 41
8055, 18993, 36
8056, 18993, 31
8057, 18993, 17
8058, 18993, 9
8059, 18993, 17
8060, 18993, 25
8061, 18993, 36
8062, 18993, 40
8063, 18993, 41
8064, 18993, 43
8065, 18993, 42
8066, 18993, 37
8067, 18993, 38
8068, 18993, 37
8069, 18993, 26
8070, 18993, 10
8071, 18993, 8
8072, 18993, 21
8073, 18993, 28
8074, 18993, 39
8075, 18993, 38
8076, 18993, 35
8077, 18993, 42
8078, 18993, 39
8079, 18993, 40
8080, 18993, 39
8081, 18993, 31
8082, 18993, 24
8083, 18993, 8
8084, 18993, 10
8085, 18993, 21
8086, 18993, 32
8087, 18993, 34
8088, 18993, 42
8089, 18993, 40
8090, 18993, 39
8091, 18993, 42
8092, 18993, 43
8093, 18993, 32
8094, 18993, 29
8095, 18993, 8
8096, 18993, 8
8097, 18993, 15
8098, 18993, 29
8099, 18993, 37
8100, 18993, 43
7900, 18994, 42
7901, 18994, 42
7902, 18994, 41
7903, 18994, 40
7904, 18994, 42
7905, 18994, 41
7906, 18994, 32
7907, 18994, 14
7908, 18994, 7
7909, 18994, 12
7910, 18994, 24
7911, 18994, 33
7912, 18994, 42
7913, 18994, 43
7914, 18994, 43
7915, 18994, 40
7916, 18994, 43
7917, 18994, 41
7918, 18994, 34
7919, 18994, 29
7920, 18994, 14
7921, 18994, 8
7922, 18994, 13
7923, 18994, 36
7924, 18994, 41
7925, 18994, 40
7926, 18994, 41
7927, 18994, 41
7928, 18994, 41
7929, 18994, 44
7930, 18994, 40
7931, 18994, 34
7932, 18994, 16
7933, 18994, 14
7934, 18994, 12
7935, 18994, 24
7936, 18994, 35
7937, 18994, 33
7938, 18994, 40
7939, 18994, 43
7940, 18994, 44
7941, 18994, 44
7942, 18994, 43
7943, 18994, 33
7944, 18994, 31
7945, 18994, 15
7946, 18994, 9
7947, 18994, 16
7948, 18994, 28
7949, 18994, 41
7950, 18994, 44
7951, 18994, 40
7952, 18994, 46
7953, 18994, 44
7954, 18994, 45
7955, 18994, 39
7956, 18994, 33
7957, 18994, 20
7958, 18994, 14
7959, 18994, 11
7960, 18994, 24
7961, 18994, 33
7962, 18994, 43
7963, 18994, 42
7964, 18994, 45
7965, 18994, 43
7966, 18994, 38
7967, 18994, 35
7968, 18994, 32
7969, 18994, 27
7970, 18994, 15
7971, 18994, 12
7972, 18994, 16
7973, 18994, 30
7974, 18994, 43
7975, 18994, 42
7976, 18994, 45
7977, 18994, 39
7978, 18994, 40
7979, 18994, 42
7980, 18994, 44
7981, 18994, 34
7982, 18994, 20
7983, 18994, 10
7984, 18994, 17
7985, 18994, 26
7986, 18994, 38
7987, 18994, 39
7988, 18994, 44
7989, 18994, 42
7990, 18994, 43
7991, 18994, 43
7992, 18994, 45
7993, 18994, 41
7994, 18994, 24
7995, 18994, 16
7996, 18994, 9
7997, 18994, 14
7998, 18994, 31
7999, 18994, 42
8000, 18994, 45
8001, 18994, 42
8002, 18994, 40
8003, 18994, 44
8004, 18994, 47
8005, 18994, 41
8006, 18994, 31
8007, 18994, 13
8008, 18994, 8
8009, 18994, 11
8010, 18994, 28
8011, 18994, 40
8012, 18994, 44
8013, 18994, 43
8014, 18994, 41
8015, 18994, 41
8016, 18994, 41
8017, 18994, 35
8018, 18994, 36
8019, 18994, 27
8020, 18994, 11
