Baud,Silence,Errors
8009.0, 19, 14
8009.5, 19, 14
8010.0, 19, 28
7990.0, 20, 43
7990.5, 20, 44
7991.0, 20, 45
7991.5, 20, 43
7992.0, 20, 40
7992.5, 20, 42
7993.0, 20, 39
7993.5, 20, 29
7994.0, 20, 26
7994.5, 20, 24
7995.0, 20, 17
7995.5, 20, 6
7996.0, 20, 9
7996.5, 20, 9
7997.0, 20, 18
7997.5, 20, 26
7998.0, 20, 29
7998.5, 20, 37
7999.0, 20, 42
7999.5, 20, 40
8000.0, 20, 44
8000.5, 20, 44
8001.0, 20, 41
8001.5, 20, 43
8002.0, 20, 44
8002.5, 20, 42
8003.0, 20, 42
8003.5, 20, 43
8004.0, 20, 42
8004.5, 20, 45
8005.0, 20, 40
8005.5, 20, 32
8006.0, 20, 29
8006.5, 20, 26
8007.0, 20, 18
8007.5, 20, 16
8008.0, 20, 14
8008.5, 20, 13
8009.0, 20, 12
8009.5, 20, 14
8010.0, 20, 31
